## Exemplo de Entrada

Conteúdo do arquivo `codigo.txt`:

```c
int x = 10;
if (x >= 5 && x != 3) {
    x++;
}


## Exemplo de saida:

Token: int        | Tipo: TOKEN_KEYWORD
Token: x          | Tipo: TOKEN_IDENTIFIER
Token: =          | Tipo: TOKEN_OPERATOR
Token: 10         | Tipo: TOKEN_INT
Token: ;          | Tipo: TOKEN_DELIMITER
Token: if         | Tipo: TOKEN_KEYWORD
Token: (          | Tipo: TOKEN_DELIMITER
Token: x          | Tipo: TOKEN_IDENTIFIER
Token: >=         | Tipo: TOKEN_OPERATOR
Token: 5          | Tipo: TOKEN_INT
Token: &&         | Tipo: TOKEN_OPERATOR
Token: x          | Tipo: TOKEN_IDENTIFIER
Token: !=         | Tipo: TOKEN_OPERATOR
Token: 3          | Tipo: TOKEN_INT
Token: )          | Tipo: TOKEN_DELIMITER
Token: {          | Tipo: TOKEN_DELIMITER
Token: x          | Tipo: TOKEN_IDENTIFIER
Token: ++         | Tipo: TOKEN_OPERATOR
Token: ;          | Tipo: TOKEN_DELIMITER
Token: }          | Tipo: TOKEN_DELIMITER
Token: EOF        | Tipo: TOKEN_EOF
